"hops","uuid","connectionType","eventId","logType","timeStamp"
"8","2f9cd7b8-052a-4fa4-be74-b4fc64ef5519","0","2","2","1643871709866"
"10","161ef399-dfc4-4325-944f-375fc2a3f6a5","0","0","2","1643871709869"
"8","48d797a0-23ed-4e3a-8461-6dd4ad5c34e2","0","2","2","1643871760945"
"10","b605192a-285b-4855-820d-84d74ab735d9","0","0","2","1643871760948"
"8","775a5c81-4bf6-4201-8120-f36420af3c2f","0","2","2","1643871816944"
"10","d19deef2-66d8-45e6-ba15-7a49b0def907","0","0","2","1643871816947"
"8","a8adc0f1-61af-4388-83bb-9b5e25e94f8b","0","2","2","1643871874444"
"10","a2c7df7f-9c04-47df-adbe-da9a45517a95","0","0","2","1643871874446"
"8","2ff98b8e-8376-4158-97da-b963a72aa6e6","0","2","2","1643871917941"
"10","db624a61-5338-4185-940c-0e0589d2344e","0","0","2","1643871917943"
"8","1ece753b-6aab-4788-b122-9a86d53589d7","0","2","2","1643871963942"
"10","23f1e1bc-fa4c-4da7-94b2-0fe68ef66dd5","0","0","2","1643871963944"
"8","5c043f67-d52d-4555-b1c7-54018bb7f88f","0","2","2","1643872014942"
"10","c566623d-e8e4-45bf-bfae-66729baf87df","0","0","2","1643872014945"
"8","0c940455-3b2b-4b83-b5cb-5c2a90cd9f0f","0","2","2","1643872060442"
"10","ac7f9951-b6ac-40e7-b002-bbd16f406c48","0","0","2","1643872060445"
"8","1c9e87c9-37b7-4236-93be-926eb79381f8","0","2","2","1643872131441"
"10","75f1625e-599e-4e71-9c7a-41e472d52129","0","0","2","1643872131443"
